 English , French , Spanish
 accident , l'accident , desgracia
 account , compte , cuenta
 action , l'action , acción
 advantage , l'avantage , ventaja
 advertisement , l'annonce , anuncio
 advice , conseil , consejo
 age , l'âge , edad
 amusement , l'amusement , diversión
 anger , colère , cólera
 angle , l'angle , ángulo
 answer , la réponse , respuesta
 apology , l'excuse , disculpa
 apparatus , l'appareil , aparato
 appetite , l'apétit , apetito
 army , l'armée , ejército
 art , l'art , arte
 assistance , l'aide , ayuda
 attack , l'attaque , ataque
 authority , l'autorité , autoridad
 average , moyenne , término medio
 bag , sac , saco
 battle , bataille , batalla
 beauty , beauté , belleza
 beginning , commencement , principio
 birth , naissance , nacimiento
 blot , tache , borrón
 blow  , coup , golpe
 bottom , fond , fondo
 burn , brûlure , quemadura
 business , affaires , negocios
 care , soin , cuidado
 case , cas , caso
 cause , cause , causa
 change , changement , cambio
 chemistry , chimie , química
 choice , choix , elección
 circle , cercle , círculo
 cleanliness , propreté , limpieza
 color , couleur , color
 committee , comité , comité
 company , compagnie , compañía
 competition , concours , concurso
 compromise , compromis , compromiso
 conclusion , fin , fin
 conduct , conduite , conducta
 confidence , confiance , confianza
 conquest , conquête , conquista
 contact , contact , contacto
 contempt , mépris , desprecio
 contents , contenu , contenido
 country , pays , país
 courage , courage , valor
 cowardice , lâcheté , cobardía
 crack , fente , hendedura
 crime , crime , crimen
 crisis , crise , crisis
 criticism , critique , crítica
 cross , croix , cruz
 crowd , foule , muchedumbre
 cruelty , cruauté , crueldad
 cry , cri , grito
 cube , cube , cubo
 curve , courbe , curva
 custom , coutume , costumbre
 cut , coupure , corte
 damage , dommage , daño
 dance , danse , baile
 danger , danger , peligro
 death , mort , muerte
 debt , dette , deuda
 defeat , défaite , derrota
 defect , défaut , defecto
 defense , défense , defensa
 degree , degré , grado
 depth , profondeur , profundidad
 design , dessin , diseño
 desire , désir , deseo
 detail , détail , detalle
 development , développement , desarrollo
 disaster , désastre , desastre
 discovery , découverte , descubrimiento
 disgust , dégoût , repugnancia
 distance , distance , distancia
 doubt , doute , duda
 dream , rêve , sueño
 drop , goutte , gota
 duration , durée , duración
 duty , devoir , deber
 edge , bord , borde
 effort , l'effort , esfuerzo
 electricity , l'électricité , electricidad
 employment , l'emploi , empleo
 encounter , rencontre , encuentro
 end , bout , extremo
 enemy , l'ennemi , enemigo
 enterprise , l'entreprise , empresa
 entrance , l'entrée , entrada
 environment , le milieu , ambiente
 envy , l'envie , envidia
 equality , l'égalité , igualdad
 error , l'erreur , error
 event , l'événement , acontecimiento
 examination , l'examen , examen
 example , l'exemple , ejemplo
 exchange , l'échange , cambio
