English,French,Spanish
accident,l'accident,la desgracia
account,le compte,la cuenta
action,l'action,la acción
advantage,l'avantage,la ventaja
advertisement,l'annonce,el anuncio
advice,le conseil,el consejo
age,l'âge,la edad
amusement,l'amusement,la diversión
anger,la colère,la cólera
angle,l'angle,el ángulo
answer,la réponse,la respuesta
apology,l'excuse,la disculpa
apparatus,l'appareil,el aparato
appetite,l'apétit,el apetito
army,l'armée,el ejército
art,l'art,el arte
assistance,l'aide,la ayuda
attack,l'attaque,el ataque
authority,l'autorité,la autoridad
average,la moyenne,el término medio
bag,le sac,el saco
ball,la balle,la bola
battle,la bataille,la batalla
beauty,la beauté,la belleza
beginning,le commencement,el principio
birth,la naissance,el nacimiento
blot,la tache,el borrón
blow,le coup,el golpe
bottom,le fond,el fondo
burn,la brûlure,la quemadura
business,les affaires,los negocios
care,le soin,el cuidado
case,le cas,el caso
cause,le cause,la causa
change,le changement,el cambio
chemistry,la chimie,la química
choice,le choix,la elección
circle,le cercle,el círculo
cleanliness,la propreté,la limpieza
color,la couleur,el color
committee,la comité,el comité
company,la compagnie,la compañía
competition,le concours,el concurso
compromise,le compromis,el compromiso
conclusion,la fin,el fin
conduct,la conduite,la conducta
confidence,la confiance,la confianza
conquest,la conquête,la conquista
contact,le contact,el contacto
contempt,le mépris,el desprecio
contents,le contenu,el contenido
country,le pays,el país
courage,le courage,el valor
cowardice,la lâcheté,la cobardía
crack,la fente,la hendedura
crime,le crime,el crimen
crisis,la crise,la crisis
criticism,la critique,la crítica
cross,la croix,la cruz
crowd,la foule,la muchedumbre
cruelty,la cruauté,la crueldad
cry,le cri,el grito
cube,le cube,el cubo
curve,la courbe,la curva
custom,la coutume,la costumbre
cut,la coupure,el corte
damage,le dommage,el daño
dance,la danse,el baile
danger,le danger,el peligro
death,la mort,la muerte
debt,la dette,la deuda
defeat,la défaite,la derrota
defect,le défaut,el defecto
defense,la défense,la defensa
degree,le degré,el grado
depth,la profondeur,la profundidad
design,le dessin,el diseño
desire,le désir,el deseo
detail,le détail,el detalle
development,le développement,el desarrollo
disaster,le désastre,el desastre
discovery,la découverte,el descubrimiento
disgust,le dégoût,la repugnancia
distance,la distance,la distancia
doubt,le doute,la duda
dream,le rêve,el sueño
drop,la goutte,la gota
